物料编码,物料描述,物品属性,计量单位,颜色,长度,硬度,其他需要分区的规格,备料方式,最小包装量
203250,FBI 10- 6,成品,PCS,,,,,自制,
3044160,UT 10,成品,PCS,,,,,自制,
3000608,UT 4-TWIN HV,成品,PCS,,,,,自制,
3211813,PT 6,成品,PCS,,,,,自制,
3000486,TB 6 I,成品,PCS,,,,,自制,
3246340,TB 10 I,成品,PCS,,,,,自制,
3246544,TB 4-2L I,成品,PCS,,,,,自制,
3001605,TB 6-RTK N,成品,PCS,,,,,自制,
3059786,TB 3 I,成品,PCS,,,,,自制,
3205048,"QTC 1,5-TWIN",成品,PCS,,,,,自制,
3050015,"QTCU 1,5",成品,PCS,,,,,自制,
3212934,PT 6-QUATTRO,成品,PCS,,,,,自制,
3036466,ST 6-TWIN,成品,PCS,,,,,自制,
3005837,"UK  1,5 N",成品,PCS,,,,,自制,
3031238,"ST 2,5-PE",成品,PCS,,,,,自制,
1302215,TS-K,成品,PCS,,,,,自制,
3209248,P-FU 5X20 LED 24-5,成品,PCS,,,,,自制,
3059786,TB 3 I,成品,PCS,,,,,自制,
3211498,PT 6-TWIN-PE,成品,PCS,,,,,自制,
124475,TB 35 I GEH 1 GY 7043   ,半成品,PCS,,,,,自制,
124465,TB 16 I GEH 1 GY 7043  ,半成品,PCS,,,,,自制,
153186,"TB 2,5-L/LB-PV I GEH GY 7043                                ",半成品,PCS,,,,,自制,
199854,TB 4 I GEH/KEA GY 7035                                      ,半成品,PCS,,,,,自制,
124284,"D-TB 2,5/4-2L GY 7043                                       ",原材料,PCS,,,,,外购,
123418,TB10-TWIN I GEH 1 GY 7043                                   ,原材料,PCS,,,,,外购,
95033,TB 35 HOUSING 1 GY 7043                                     ,半成品,PCS,,,,,自制,
126526,TB 16 I GEH 1 BU 5015                                       ,半成品,PCS,,,,,自制,
139392,TB 50 GEH 1 BU 5015                                         ,半成品,PCS,,,,,自制,
144272,TB 4-MT I GEH RD 3001                                       ,半成品,PCS,,,,,自制,
144287,TB 4-L/LB I GEH RD 3001                                     ,半成品,PCS,,,,,自制,
124458,TB 10-PE I GEH YE 1018                                      ,原材料,PCS,,,,,外购,
124461,TB 16-PE I GEH 2 YE 1018                                    ,半成品,PCS,,,,,自制,
121630,GMKDS 3 screw CuZn36                                        ,半成品,PCS,,,,,自制,
9997538,K 3-R CLAMP.SLV.EXT.VERSION NI                              ,半成品,PCS,,,,,自制,
9753701,UKK 3 N CURRENT BAR LOWER SN                                ,半成品,PCS,,,,,自制,
123563,"TB 6-H1L SCHRAUBE M4X9,6-1,5                                ",半成品,PCS,,,,,自制,
117505,TB 6 EC KLH                                                 ,原材料,PCS,,,,,外购,
9939127,UK 6 N CURRENT BAR SN                                       ,半成品,PCS,,,,,自制,
9620973,PAPER BOX 216 X 92 X 49                                     ,原材料,PCS,,,,,外购,
9620973,PAPER BOX 216 X 92 X 49                                     ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
9604766,PAPER BOX 216 X 132 X 57                                    ,原材料,PCS,,,,,外购,
9624906,No.1 paper mount 800*40                                     ,原材料,PCS,,,,,外购,
9604627,PAPER BOX 216 X 72 X 49                                     ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
9604913,BUBBLE FILM 60CM,原材料,kg,,,,,外购,
139192,FRIANYL A3 R V0 GY 7043/Q,原材料,kg,,,,,外购,
122816,FRIANYL A3 R V0 ,原材料,kg,,,,,外购,
110504,PT6-TWIN-PEGEHGNYE                                          ,原材料,PCS,,,,,外购,
110511,PT 6-TWIN(-PE) STROMB.                                      ,原材料,PCS,,,,,外购,
55138,ST 2.5/2P-PE-base N                                         ,原材料,PCS,,,,,外购,
123351,PIT 6 spring                                                ,原材料,PCS,,,,,外购,
123376,PIT 6 pusher Og 2003                                        ,原材料,PCS,,,,,外购,
9624909,No.6 paper mount 800*101                                    ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
9624836,PAPER BOX 206*185*45                                        ,原材料,PCS,,,,,外购,
123914,TB 3 I GEH GY 7043                                          ,半成品,,,,,,自制,
130280,TB 3 I STROMB                                               ,原材料,PCS,,,,,外购,
117502,TB 2.5 EC KLH                                               ,原材料,PCS,,,,,外购,
106095,TB 2.5-H1L SCHRAUBE M2.5                                    ,原材料,PCS,,,,,外购,
172501,PAPER BOX 220X65X52                                         ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
117802,P-FU 5X20-5 GEH BK 9005                                     ,半成品,,,,,,自制,
117803,P-FU 5*20-5 METAL R                                         ,原材料,PCS,,,,,外购,
117804,P-FU 5*20-5 METAL L                                         ,原材料,PCS,,,,,外购,
9876594,GEWEBESCHLAUCH 0.8MM                                        ,原材料,PCS,,,,,外购,
9019513,R 30K 0.6W 1% TK50 M                                        ,原材料,PCS,,,,,外购,
9621082,PLASTIC BAG 160*160                                         ,原材料,PCS,,,,,外购,
9664175,label 50x100 PE WH BLANK                                    ,原材料,PCS,,,,,外购,
9157920,LED RD 2*3MM 2MA BI                                         ,原材料,PCS,,,,,外购,
9742770,TS-K TRENNSCHEIBE GY 7042                                   ,半成品,,,,,,自制,
192182,PE  white film  360mm                                       ,原材料,PCS,,,,,外购,
9722208,ST 2.5 spring                                               ,原材料,PCS,,,,,外购,
9722295,ST 2.5-PE stromb.                                           ,半成品,,,,,,自制,
9722075,"ST 2,5-PE GEH GNYE                                          ",半成品,,,,,,自制,
55133,"QT 2,5-PE FUSS N                                            ",原材料,PCS,,,,,外购,
9624834,PAPER BOX 247*54*38                                         ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
9324130,"K  1,5-R KLH M.UNTERST.    NI1                              ",原材料,PCS,,,,,外购,
9324143,"UK  1,5 N SCHR.M2X4,3      SN3                              ",原材料,PCS,,,,,外购,
9324156,UK 1.5N CURRENT BAR SN                                      ,半成品,,,,,,自制,
9324169,UK 1.5N HOUSING GY                                          ,半成品,,,,,,自制,
172501,PAPER BOX 220X65X52                                         ,原材料,PCS,,,,,外购,
9624906,No.1 paper mount 800*40                                     ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
9761340,ZFK 6 SPRING                                                ,原材料,PCS,,,,,外购,
9713042,ST 6-TWIN(-PE) current bar                                  ,原材料,PCS,,,,,外购,
9713055,ST 6-TWIN GEH GY                                            ,原材料,PCS,,,,,外购,
9624836,PAPER BOX 206*185*45                                        ,原材料,PCS,,,,,外购,
9664188,50MM*100MM PACKING Label                                    ,原材料,PCS,,,,,外购,
